Name,n_poem,url,poem_url,first_poem_url
Alfred Lord Tennyson,193,https://www.poemhunter.com/alfred-lord-tennyson/poems/,https://www.poemhunter.com/poem/ulysses-2/,https://www.poemhunter.com/poem/claribel-a-melody/
Sonia Sanchez,13,https://www.poemhunter.com/sonia-sanchez/poems/,https://www.poemhunter.com/poem/personal-letter-no-3/,https://www.poemhunter.com/poem/14-haiku/
Nizar Qabbani,50,https://www.poemhunter.com/nizar-qabbani/poems/,https://www.poemhunter.com/poem/in-the-summer/,https://www.poemhunter.com/poem/a-brief-love-letter/
Louise Gluck,75,https://www.poemhunter.com/louise-gluck/poems/,https://www.poemhunter.com/poem/celestial-music/,https://www.poemhunter.com/poem/a-fable-14/
Lawrence Ferlinghetti,33,https://www.poemhunter.com/lawrence-ferlinghetti/poems/,https://www.poemhunter.com/poem/the-world-is-a-beautiful-place/,https://www.poemhunter.com/poem/the-wounded-wilderness-of-morris-graves/
John Donne,190,https://www.poemhunter.com/john-donne/poems/,https://www.poemhunter.com/poem/no-man-is-an-island/,https://www.poemhunter.com/poem/a-burnt-ship/
Octavio Paz,16,https://www.poemhunter.com/octavio-paz/poems/,https://www.poemhunter.com/poem/no-more-clich-s/,https://www.poemhunter.com/poem/across-4/
Dorothy Parker,193,https://www.poemhunter.com/dorothy-parker/poems/,https://www.poemhunter.com/poem/a-very-short-song/,https://www.poemhunter.com/poem/star-light-star-bright/
Hilaire Belloc,101,https://www.poemhunter.com/hilaire-belloc/poems/,https://www.poemhunter.com/poem/tarantella/,https://www.poemhunter.com/poem/month-of-july/
Sayeed Abubakar,282,https://www.poemhunter.com/sayeed-abubakar/poems/,https://www.poemhunter.com/poem/a-strange-boy/,https://www.poemhunter.com/poem/121212/
Federico García Lorca,43,https://www.poemhunter.com/federico-garc-a-lorca/poems/,https://www.poemhunter.com/poem/ballad-of-the-moon/,https://www.poemhunter.com/poem/adam-19/
Elizabeth Barrett Browning,236,https://www.poemhunter.com/elizabeth-barrett-browning/poems/,https://www.poemhunter.com/poem/how-do-i-love-thee/,https://www.poemhunter.com/poem/a-child-asleep/
Allen Ginsberg,48,https://www.poemhunter.com/allen-ginsberg/poems/,https://www.poemhunter.com/poem/a-supermarket-in-california/,https://www.poemhunter.com/poem/136-syllables-at-rocky-mountain-dharma-center/
