,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
322,Ed Sheeran,2step (The Remixes),5,0Ooo1Wnehm31UPovrjLRWW,2step (feat. Leto),spotify:track:0Ooo1Wnehm31UPovrjLRWW,0.273,0.73,0.701,0.0,0.0657,-5.318,0.0447,94.97,0.522,38
323,Ed Sheeran,2step (The Remixes),6,7nPp9jinMqAmiAnNfYzY7c,2step (feat. Ellinoora),spotify:track:7nPp9jinMqAmiAnNfYzY7c,0.167,0.705,0.741,0.0,0.216,-4.33,0.0683,94.962,0.615,42
324,Ed Sheeran,2step (The Remixes),7,3Clcn0JjqakucsAAAMV646,2step (feat. 1.Cuz),spotify:track:3Clcn0JjqakucsAAAMV646,0.157,0.674,0.663,0.0,0.13,-5.084,0.084,94.818,0.617,47
325,Ed Sheeran,2step (The Remixes),8,3dvDgPBAxqetLJvDmRDtwC,2step (feat. Budjerah),spotify:track:3dvDgPBAxqetLJvDmRDtwC,0.212,0.727,0.621,0.0,0.114,-4.784,0.0555,94.958,0.565,45
326,Ed Sheeran,2step (The Remixes),9,5DKhoaXr9zqKis4SY5BiSm,2step (Star.One Remix),spotify:track:5DKhoaXr9zqKis4SY5BiSm,0.254,0.669,0.916,0.00117,0.356,-4.961,0.038,129.956,0.54,34
327,Ed Sheeran,2step (The Remixes),10,2t0iRmBWsSwPIv7OY8ypiZ,2step (feat. Chefin),spotify:track:2t0iRmBWsSwPIv7OY8ypiZ,0.209,0.731,0.642,0.0,0.242,-5.106,0.0695,94.961,0.504,44
328,Ed Sheeran,2step (The Remixes),11,6Md7OetCK5pP3HzcX0ermc,2step (feat. reezy),spotify:track:6Md7OetCK5pP3HzcX0ermc,0.179,0.734,0.68,0.0,0.169,-5.096,0.058,95.06,0.499,34
329,Ed Sheeran,2step (The Remixes),12,0YbUKWAVjJvfOvRpnvNEOz,2step (feat. Quevedo),spotify:track:0YbUKWAVjJvfOvRpnvNEOz,0.171,0.72,0.709,0.0,0.141,-5.308,0.0827,94.99,0.537,47
330,Ed Sheeran,2step (The Remixes),13,5nlCMeGjtjeHkUqI43dV93,2step (feat. Denise Chaila),spotify:track:5nlCMeGjtjeHkUqI43dV93,0.21,0.728,0.69,0.0,0.113,-4.788,0.084,94.986,0.492,32
331,Ed Sheeran,2step (The Remixes),14,3Gxo1itE2q8dTrhX7atqCE,2step (feat. Armaan Malik),spotify:track:3Gxo1itE2q8dTrhX7atqCE,0.18,0.747,0.667,0.0,0.146,-5.181,0.0566,95.0,0.508,45
332,Ed Sheeran,=,1,2JiHR4gCDjXwYVRDmwdk95,Tides,spotify:track:2JiHR4gCDjXwYVRDmwdk95,0.0167,0.631,0.825,0.0,0.122,-3.971,0.0433,129.942,0.427,62
333,Ed Sheeran,=,2,50nfwKoDiSYg8zOCREWAm5,Shivers,spotify:track:50nfwKoDiSYg8zOCREWAm5,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,83
334,Ed Sheeran,=,3,5QYnNhTKsN3kE7OaqILA1U,First Times,spotify:track:5QYnNhTKsN3kE7OaqILA1U,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,0.352,68
335,Ed Sheeran,=,4,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,spotify:track:3rmo8F54jFF8OgYsqTxm5d,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,83
336,Ed Sheeran,=,5,4btFHqumCO31GksfuBLLv3,Overpass Graffiti,spotify:track:4btFHqumCO31GksfuBLLv3,0.00253,0.52,0.849,0.0,0.119,-3.794,0.186,175.908,0.774,73
337,Ed Sheeran,=,6,3NuLxTXowTRcguTh9RsPmM,The Joker And The Queen,spotify:track:3NuLxTXowTRcguTh9RsPmM,0.952,0.567,0.211,5.24e-05,0.275,-9.975,0.0315,134.019,0.289,58
338,Ed Sheeran,=,7,0YbI9lWxUBsCJLb6EBydkr,Leave Your Life,spotify:track:0YbI9lWxUBsCJLb6EBydkr,0.236,0.578,0.558,0.0,0.143,-5.438,0.0872,75.087,0.54,60
339,Ed Sheeran,=,8,5sv0WnUs74Orn6GoPmC5im,Collide,spotify:track:5sv0WnUs74Orn6GoPmC5im,0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,0.559,61
340,Ed Sheeran,=,9,2SUxn2O9NHL6GHGQFgwCY0,2step,spotify:track:2SUxn2O9NHL6GHGQFgwCY0,0.169,0.763,0.661,0.0,0.117,-5.592,0.056,95.002,0.632,70
341,Ed Sheeran,=,10,0VuDtcT7H4CAljLZEH021x,Stop The Rain,spotify:track:0VuDtcT7H4CAljLZEH021x,0.0122,0.686,0.765,0.0,0.127,-4.778,0.118,99.998,0.743,59
342,Ed Sheeran,=,11,1i4F583d9v9RabcfOlKKVL,Love In Slow Motion,spotify:track:1i4F583d9v9RabcfOlKKVL,0.668,0.485,0.54,0.0,0.0849,-5.4,0.0253,62.631,0.426,61
343,Ed Sheeran,=,12,0rt63HYAAIzUZo5O2D0uA6,Visiting Hours,spotify:track:0rt63HYAAIzUZo5O2D0uA6,0.77,0.471,0.396,0.0,0.0729,-6.654,0.0336,149.609,0.263,63
344,Ed Sheeran,=,13,2Ldb2ytuC9AxhpAkVEJBI6,Sandman,spotify:track:2Ldb2ytuC9AxhpAkVEJBI6,0.882,0.822,0.3,9.15e-05,0.0665,-8.034,0.0673,125.951,0.734,57
345,Ed Sheeran,=,14,3BiiSLo0wyHAY7lpCEO6ge,Be Right Now,spotify:track:3BiiSLo0wyHAY7lpCEO6ge,0.00494,0.501,0.684,0.000478,0.0524,-6.706,0.0566,131.952,0.442,56
